32,123
161,150
82,181
85,150
186,62
22,155
86,65
79,60
10,42
185,140
124,198
182,133
63,70
118,57
74,65
87,42
152,106
90,167
195,0
65,91
141,145
1,150
195,54
47,192
134,135
145,110
160,4
125,85
104,120
160,186
46,121
193,156
118,140
33,32
137,85
72,156
157,135
194,16
174,32
56,32
24,193
70,107
173,45
77,198
135,142
140,36
159,50
29,156
95,119
118,168
120,117
170,149
163,152
100,75
183,65
92,153
142,35
153,174
0,191
7,50
147,124
113,116
52,55
156,67
131,144
124,118
18,170
24,53
56,35
138,114
187,97
167,190
40,161
16,188
77,85
80,197
152,151
156,32
40,172
175,87
182,139
111,65
197,120
113,92
123,138
68,108
1,42
132,96
128,181
177,188
25,71
71,1
36,71
42,123
193,48
45,95
195,59
65,60
142,92
49,147
166,189
123,106
89,28
85,98
26,108
45,80
53,39
5,121
95,158
183,21
12,145
32,71
111,136
125,121
84,108
189,25
65,187
149,43
143,192
127,164
143,99
96,17
86,34
15,184
39,111
136,185
78,174
143,0
41,170
192,65
58,96
107,11
50,108
79,25
26,120
101,176
119,5
49,157
54,160
183,73
114,40
53,66
66,103
31,191
91,153
33,123
90,124
125,134
35,35
122,91
188,129
37,21
163,8
135,1
200,19
45,167
12,146
91,2
165,181
189,124
157,137
46,136
39,19
114,86
33,35
41,55
3,191
199,192
129,193
28,89
170,147
193,9
4,184
32,90
20,98
70,160
170,155
181,161
180,1
142,194
98,147
120,200
129,174
81,81
178,62
164,104
10,153
152,173
55,15
188,177
32,140
150,87
137,96
164,54
34,96
144,187
162,80
132,16
36,194
17,11
