161,150
22,155
10,42
185,140
124,198
182,133
195,0
1,150
195,54
47,192
160,4
160,186
193,156
33,32
72,156
157,135
194,16
174,32
24,193
173,45
140,36
159,50
29,156
118,168
170,149
163,152
142,35
153,174
0,191
7,50
52,55
18,170
24,53
167,190
40,161
16,188
152,151
156,32
40,172
182,139
197,120
1,42
128,181
177,188
25,71
36,71
193,48
45,95
49,147
166,189
45,80
53,39
183,21
32,71
189,25
65,187
149,43
143,192
127,164
15,184
136,185
143,0
41,170
49,157
54,160
31,191
35,35
37,21
163,8
135,1
200,19
45,167
12,146
165,181
189,124
157,137
39,19
33,35
41,55
3,191
199,192
129,193
28,89
170,147
193,9
4,184
32,90
20,98
70,160
170,155
181,161
180,1
142,194
120,200
129,174
10,153
152,173
55,15
188,177
164,54
34,96
144,187
132,16
36,194
17,11
