32,123
82,181
85,150
186,62
86,65
79,60
63,70
118,57
74,65
87,42
152,106
90,167
65,91
141,145
134,135
145,110
125,85
104,120
46,121
118,140
137,85
56,32
70,107
77,198
135,142
95,119
120,117
100,75
183,65
92,153
147,124
113,116
156,67
131,144
124,118
56,35
138,114
187,97
77,85
80,197
175,87
111,65
113,92
123,138
68,108
132,96
71,1
42,123
195,59
65,60
142,92
123,106
89,28
85,98
26,108
5,121
95,158
12,145
111,136
125,121
84,108
143,99
96,17
86,34
39,111
78,174
192,65
58,96
107,11
50,108
79,25
26,120
101,176
119,5
183,73
114,40
53,66
66,103
91,153
33,123
90,124
125,134
122,91
188,129
91,2
46,136
114,86
98,147
81,81
178,62
164,104
32,140
150,87
137,96
162,80
