145,75
100,108
140,134
84,78
74,59
129,84
136,116
118,106
95,84
130,69
94,114
90,128
108,107
134,65
62,57
122,120
106,69
51,66
70,76
138,144
69,122
126,92
67,85
62,82
123,106
87,56
117,145
132,145
109,123
51,132
78,110
63,50
144,145
66,96
77,67
138,75
119,98
119,120
51,137
64,127
58,65
100,141
93,143
85,74
91,60
87,71
133,96
80,55
115,56
51,108
88,57
58,53
141,84
111,112
111,109
118,125
73,80
134,53
87,97
73,89
100,146
134,77
113,81
101,128
99,106
51,57
131,114
90,114
69,99
135,114
73,116
115,106
100,99
77,147
75,127
140,141
68,134
127,128
77,59
84,136
64,87
93,116
94,87
114,140
73,91
79,145
58,50
103,134
77,91
102,110
124,74
96,64
149,96
71,112
97,97
91,77
50,141
98,64
100,100
52,125
88,145
59,108
62,61
97,102
66,87
90,145
73,137
80,120
145,103
131,82
127,113
130,68
126,107
57,117
56,96
99,89
98,122
136,86
92,67
119,77
99,61
134,113
68,108
75,129
76,71
109,51
83,106
149,55
50,140
75,59
75,61
70,73
107,86
52,70
115,108
138,90
130,128
104,136
91,143
118,51
120,113
102,118
83,131
101,130
80,79
105,90
77,52
73,62
73,135
72,64
138,141
99,60
141,71
63,108
50,117
85,145
90,58
109,129
93,106
77,50
100,140
125,93
149,62
115,97
90,54
148,123
51,123
91,87
90,57
148,62
87,110
80,142
119,71
68,62
92,89
148,130
137,62
93,118
149,129
139,75
86,127
99,84
135,66
129,112
73,107
73,70
109,110
75,87
148,83
110,90
78,56
59,65
70,66
124,114
62,122
66,141
128,73
82,130
86,137
83,116
